<TICKER>;<PER>;<DATE>;<TIME>;<LAST>;<VOL>
SPFB.RTS;0;20230428;085936;101050.000000000;1
SPFB.RTS;0;20230428;085936;101050.000000000;1
SPFB.RTS;0;20230428;090000;101090.000000000;1
SPFB.RTS;0;20230428;090000;101090.000000000;1
SPFB.RTS;0;20230428;090000;101090.000000000;4
SPFB.RTS;0;20230428;090000;101090.000000000;1
SPFB.RTS;0;20230428;090000;101090.000000000;1
SPFB.RTS;0;20230428;090000;101100.000000000;1
SPFB.RTS;0;20230428;090000;101090.000000000;1
SPFB.RTS;0;20230428;090001;101060.000000000;1
SPFB.RTS;0;20230428;090001;101090.000000000;1
SPFB.RTS;0;20230428;090001;101060.000000000;1
SPFB.RTS;0;20230428;090001;101060.000000000;1
SPFB.RTS;0;20230428;090001;101060.000000000;1
SPFB.RTS;0;20230428;090001;101070.000000000;1
SPFB.RTS;0;20230428;090001;101070.000000000;1
SPFB.RTS;0;20230428;090001;101070.000000000;2
SPFB.RTS;0;20230428;090001;101070.000000000;1
SPFB.RTS;0;20230428;090001;101080.000000000;2
SPFB.RTS;0;20230428;090001;101080.000000000;1
SPFB.RTS;0;20230428;090001;101090.000000000;2
SPFB.RTS;0;20230428;090001;101090.000000000;1
SPFB.RTS;0;20230428;090001;101100.000000000;4
SPFB.RTS;0;20230428;090001;101090.000000000;1
SPFB.RTS;0;20230428;090001;101090.000000000;2
SPFB.RTS;0;20230428;090002;101060.000000000;1
SPFB.RTS;0;20230428;090002;101070.000000000;1
SPFB.RTS;0;20230428;090002;101060.000000000;1
SPFB.RTS;0;20230428;090003;101090.000000000;1
SPFB.RTS;0;20230428;090005;101080.000000000;2
SPFB.RTS;0;20230428;090005;101080.000000000;1
SPFB.RTS;0;20230428;090006;101080.000000000;1
SPFB.RTS;0;20230428;090006;101080.000000000;1
SPFB.RTS;0;20230428;090006;101090.000000000;2
SPFB.RTS;0;20230428;090006;101090.000000000;1
SPFB.RTS;0;20230428;090006;101090.000000000;1
SPFB.RTS;0;20230428;090006;101090.000000000;1
SPFB.RTS;0;20230428;090006;101090.000000000;2
SPFB.RTS;0;20230428;090006;101090.000000000;5
SPFB.RTS;0;20230428;090006;101100.000000000;200
SPFB.RTS;0;20230428;090006;101100.000000000;1
SPFB.RTS;0;20230428;090006;101100.000000000;1
SPFB.RTS;0;20230428;090006;101100.000000000;1
SPFB.RTS;0;20230428;090006;101100.000000000;1
SPFB.RTS;0;20230428;090006;101100.000000000;2
SPFB.RTS;0;20230428;090006;101100.000000000;2
SPFB.RTS;0;20230428;090006;101100.000000000;2
SPFB.RTS;0;20230428;090006;101100.000000000;5
SPFB.RTS;0;20230428;090006;101100.000000000;4
SPFB.RTS;0;20230428;090006;101100.000000000;1
SPFB.RTS;0;20230428;090006;101100.000000000;1
SPFB.RTS;0;20230428;090006;101100.000000000;2
SPFB.RTS;0;20230428;090007;101060.000000000;1
SPFB.RTS;0;20230428;090009;101090.000000000;1
SPFB.RTS;0;20230428;090009;101090.000000000;2
